"Publication Name","Parent Publication",URL,Owner,"Is Owner Founder",City,State,Country,"Primary Language","Primary Language Other","Tax Status (founded)","Tax Status (current)","Year Founded","Total Employees","Budget % - Editorial","Budget % - Revenue Generation","Budget % - Product/Technology","Budget % - Administration",Products,"Products Other",Distribution,"Distribution Method Other","Geographic Area","Core Editorial Strategy Characteristics","Core Editorial Strategy Characteristics Other","Coverage Topics","Coverage Topics Other","Underrepresented Communities","Underrepresented Communities not listed","Revenue Streams","Revenue Stream Other","Revenue Stream - Additional Info","Revenue Stream - Largest","Revenue Streams Largest Other","Paywall or Gateway","Paywall or Gateway Other","Advertising Products","Advertising Product Other","Real-World Impacts",Summary
Bridge,,https://bridgemi.com,,No,"Ann Arbor",MI,"United States",English,,"Nonprofit 501c(3) or Canadian nonprofit","Nonprofit 501c(3) or Canadian nonprofit",2011,"21 or more",51-60,11-20,0-10,0-10,"Originally-reported articles, Video, Podcasts, Newsletters, Social media-only content, Events",,"Website, Social media, Third party content platforms, Syndicated feed or content partnerships",,State/Province,"Investigative news, Curation and commentary, In-depth feature and explanatory reporting",,"Business, Education & Schools, Environment, Government, Health & Medicine, Politics, Race & Ethnicity, Public Policy",,"Ethnic communities, Immigrant communities, LGBTQI communities, Low-income communities, People of color",,"Reader membership, Foundation funding, Major individual gifts, Philanthropic funding from major institutions",,,"Philanthropic funding from major institutions",,"I don't have a paywall",,"Content Sponsorship",,,"Bridge Magazine is a nonprofit, nonpartisan news organization that provides passionate and rooted Michigan readers with honest, fact-driven journalism on the state’s diverse people, politics, and economy. We serve as your watchdog on the biggest issues impacting your daily life, giving you insightful coverage you can’t get anywhere else."
"Bushwick Daily",,https://bushwickdaily.com,"Alec Meeker",No,"New York",NY,"United States",English,,LLC,LLC,2009,1,41-50,31-40,21-30,21-30,"Digital marketing services, Events, Newsletters, Originally-reported articles, Social media-only content, Video",,"Social media, Syndicated feed or content partnerships, Third party content platforms, Website",,"Neighborhood(s), City/Town","Curation and commentary, Hyperlocal community comings and goings, In-depth feature and explanatory reporting",,"Entertainment & Arts, Events in coverage area, Food, Government, Immigration, Politics, Social Justice & Inequality",,"Communities with English as a second language, Ethnic communities, Immigrant communities, LGBTQI communities, Low-income communities, People of color",,"Direct sold advertising, Other forms of corporate sponsorship, Reader membership",,,"Direct sold advertising",,"I don't have a paywall",,"Branded content (e.g. marketing content with editorial review by the advertiser), Display",,"A couple examples of Bushwick Daily original reporting that is representative of the work we do. In 2019, National Grid Gas Company started refusing to hook up gas lines for multiple small businesses in North Brooklyn due to a legislative loophole. Bushwick Daily broke the story with an article covering the gas shut-off and featuring several local business owners unable to operate because of the shutdown. The original reporting published by Bushwick Daily was seen by local city officials, larger publications and other local business owners allowing them to put pressure on the gas company to provide service to the businesses which they eventually did. Last year there was a spike in ICE raids in our coverage area. We covered the raids and published news-to-use stories on how to protect yourself if ICE shows up at your door, along with info on the ongoing raids and how our local elected officials were responding to the activity. Bushwick Daily also covers positive community news on black and POC businesses. An example of this is Ethel’s Club, the first exclusively POC private membership and workspace club to open in Brooklyn. Bushwick Daily published an exclusive interview with the owner and information on how the community could support the organization and get involved.","Bushwick Daily is an independent media company based in New York City that launched in 2009 to focus on community issues, events, food, art, and culture in the Brooklyn neighborhood of Bushwick.
The publication is a progressive local resource for the thriving communities of Bushwick, Ridgewood, and East Williamsburg. Five days a week, Bushwick Daily publishes articles from a diverse team of local contributors about neighborhood events and hyperlocal news."
"Carolina Panorama",,https://CarolinaPanorama.com,"Nathaniel Abraham Jr.",No,Columbia,SC,"United States",English,,"Sole Proprietor/no specific tax status",LLC,1986,3-5,11-20,21-30,0-10,41-50,"Originally-reported articles, Video, Newsletters, Printed media, Events",,"Website, Social media",,"County/Counties/Regional districts","Hyperlocal community comings and goings",,"Business, Education & Schools, Events in coverage area, Health & Medicine, Race & Ethnicity",,"People of color",,"Direct sold advertising",,,"Direct sold advertising",,"I don't have a paywall",,"Display, Content Sponsorship",,"We impact the new businesses opening in our community, showcase students excelling, inform people of upcoming events, etc.","Carolina Panorama was established in December of 1986 by Nathaniel Abraham, Sr.  Over the years, the newspaper has proudly focused on bringing to its readers community news and profiles of people that were not covered by other media outlets."
Chalkbeat,,https://chalkbeat.org,"Non Profit. Elizabeth Green is our CEO and co-founder.",No,"New York",NY,"United States",English,,"Nonprofit 501c(3) or Canadian nonprofit","Nonprofit 501c(3) or Canadian nonprofit",2012,"21 or more",51-60,11-20,0-10,21-30,"Newsletters, Originally-reported articles",,"Social media, Third party content platforms, Website",,"City/Town, County/Counties/Regional districts, State/Province","Single-subject news",,"Education & Schools",,"Communities with English as a second language, Low-income communities, People of color",,"Foundation funding, Philanthropic funding from major institutions",,,"Philanthropic funding from major institutions",,"I don't have a paywall",,"Display, Email",,"We measure our reporting influence in two ways: informing action, and informing debate. Our articles have been passed out at school board meetings and led to virtual school closings. Recently, our reporting on Spectrum not offering free internet to NYC customers who had an outstanding balance drew criticism from the mayor and led to a reversal of their policy. More about measuring our reporting impact here: https://cdn.vox-cdn.com/uploads/chorus_asset/file/19891533/Chalkbeat_Wh…","Chalkbeat is a nonprofit news organization committed to covering one of America’s most important stories: the effort to improve schools for all children, especially those who have historically lacked access to a quality education."
"Charlottesville Tomorrow",,https://cvilletomorrow.org,Nonprofit,No,Charlottesville,VA,"United States",English,,"Nonprofit 501c(3) or Canadian nonprofit","Nonprofit 501c(3) or Canadian nonprofit",2005,6-10,21-30,11-20,0-10,11-20,"Originally-reported articles, Video, Podcasts, Newsletters, Social media-only content, Events",,"Website, Social media, Email",,"City/Town, County/Counties/Regional districts","Single-subject news, In-depth feature and explanatory reporting",,"Education & Schools, Environment, Government, Planning & Development, Politics, Social Justice & Inequality, Transportation",,"LGBTQI communities, Low-income communities, People of color",,"Foundation funding, Small individual gifts, Major individual gifts",,,"Major individual gifts",,"I don't have a paywall",,,,,"Founded in 2005, Charlottesville Tomorrow is a hyperlocal journalism nonprofit with a mission to expand civic engagement and foster a vibrant, inclusive, and interdependent community. Supported entirely by contributions from readers, grants from foundations and philanthropists and the Knight Foundation’s NewsMatch fund, Charlottesville Tomorrow delivers in-depth reporting and analysis on local issues with the goal of improving local decision-making."
"Chicago Public Square",,https://ChicagoPublicSquare.com,"Charles Meyerson",No,Chicago,IL,"United States",English,,"Sole Proprietor/no specific tax status","Sole Proprietor/no specific tax status",2017,0,61-70,0-10,0-10,0-10,"Digital marketing services, Events, Newsletters, Originally-reported articles, Podcasts, Social media-only content, Video",,"Email, Social media, Website",,"City/Town, County/Counties/Regional districts, State/Province, Multi-state/Multi-province","Curation and commentary, Hyperlocal community comings and goings",,"Corruption, Environment, Government, Politics",,"LGBTQI communities, Low-income communities, People of color",,"Small individual gifts",,,"Small individual gifts",,"I don't have a paywall",,Display,,"Industry-leading open (50%+) and click rates demonstrate Square's compelling engagement strategies.","Mission
To bring you news and links of interest and importance to the Chicago area—without wasting your time."
ChrisD.ca,,https://www.chrisd.ca/,,Yes,Winnipeg,MB,Canada,English,,"Sole Proprietor/no specific tax status","For Profit",2007,2,11-20,21-30,11-20,0-10,"Digital marketing services, Events",,"Aggregation, Email",,"Neighborhood(s), City/Town, County/Counties/Regional districts","Breaking News, Curation and commentary, Hyperlocal community comings and goings",,"Breaking News",,"Ethnic communities, People of color",,"Direct sold advertising, Grants, Other Marketing Services",,,"Direct sold advertising",,,,"Branded content (e.g. marketing content with editorial review by the advertiser), e-Commerce, Content Sponsorship, Display, Email, Social Media, Video",,"Local journalism is at the heart of every community and ChrisD.ca tells the stories of the people and places that shape our everyday lives. We play a central role in keeping our region informed and in tune with the events that matter most.","ChrisD.ca provides local breaking news, entertainment and sports coverage in Winnipeg, Manitoba and surrounding areas. We feature videos, photo galleries and editorials to help tell the full stories of those in our community."
"City Limits",,https://citylimits.org,"Non Profit, Jarrett Murphy",No,"New York",NY,"United States",English,,"Nonprofit 501c(3) or Canadian nonprofit","Nonprofit 501c(3) or Canadian nonprofit",1976,3-5,61-70,0-10,0-10,11-20,"Events, Newsletters, Originally-reported articles, Podcasts, Video",,"Social media, Syndicated feed or content partnerships, Third party content platforms, Website",,"Neighborhood(s), City/Town, County/Counties/Regional districts","Investigative news",,"Crime & Justice, Government, Politics, Social Justice & Inequality, Transportation",,"Immigrant communities, Low-income communities, People of color",,"Foundation funding",,,"Foundation funding",,"I don't have a paywall",,Display,,https://citylimits.org/our-impact/,"City Limits uses investigative journalism through the prism of New York City to identify urban problems, examine their causes, explore solutions, and equip communities to take action.
Founded in 1976 in the midst of New York’s fiscal crisis, City Limits exists to inform democracy and empower citizens to create a more just city. The organization is a 501(c)(3) nonprofit funded by foundation support, ad sponsorship and donations from readers."
"Connecticut Health I-Team",,https://c-hit.org,"Lynne DeLucia",No,"New Haven",CT,"United States",English,,"Nonprofit 501c(3) or Canadian nonprofit","Nonprofit 501c(3) or Canadian nonprofit",2010,0,81-90,0-10,0-10,0-10,"Originally-reported articles, Video, Podcasts, Newsletters",,"Website, Social media, Syndicated feed or content partnerships",,State/Province,"Investigative news, In-depth feature and explanatory reporting",,"Environment, Food, Health & Medicine, Immigration",,"Ethnic communities, Immigrant communities, LGBTQI communities, Low-income communities, People of color",,"Foundation funding, Small individual gifts, Events",,,"Foundation funding",,"I don't have a paywall",,"I don’t sell any advertising products.",,"C-HIT's work has resulted in health regulatory changes for licensed practitioners; and raising awareness of the quality of health care delivery by doctors, nurses, hospitals and other health care entities; informing the public to make smart health care choices.","The non-profit Connecticut Health Investigative Team [C-HIT] is dedicated to producing original, responsible, in-depth journalism on issues of health and safety, in Connecticut and the surrounding region."
Crosscut,"Cascade Public Media",https://Crosscut.com,"Cascade Public Media",No,Seattle,WA,"United States",English,,,"Nonprofit 501c(3) or Canadian nonprofit",2007,"21 or more",0-10,0-10,0-10,0-10,"Digital marketing services, Events, Newsletters, Originally-reported articles, Podcasts, Social media-only content, Video",,"Owned and operated mobile app(s), Radio, Social media, Syndicated feed or content partnerships, Third party content platforms, Website",,"Neighborhood(s), City/Town, County/Counties/Regional districts, State/Province","In-depth feature and explanatory reporting",,"Environment, Planning & Development, Politics, Race & Ethnicity, Social Justice & Inequality",,"Communities with English as a second language, Ethnic communities, Immigrant communities, LGBTQI communities, Low-income communities, People of color",,"Major individual gifts, Philanthropic funding from major institutions, Reader membership, Small individual gifts",,,"Major individual gifts",,"I don't have a paywall",,"Branded content (e.g. marketing content with editorial review by the advertiser), Content Sponsorship, Display",,"You can read about us here: https://crosscut.com/about","At Crosscut, we believe that an informed public is essential to solving the challenges of our time. As the Pacific Northwest’s independent, reader-supported, nonprofit news site, Crosscut strives to provide readers with the facts and analysis they need to intelligently participate in civic discourse, and to create a more just, equitable and sustainable society."
Crosstown,,https://xtown.la,"USC Annenberg",No,"Los Angeles",CA,"United States",English,,"Under umbrella of a 501c(3)","Under umbrella of a 501c(3)",2018,0,41-50,0-10,41-50,0-10,"Newsletters, Originally-reported articles, Social media-only content, Video",,"Social media, Website",,"Neighborhood(s), City/Town, County/Counties/Regional districts",,,"Crime & Justice, Education & Schools, Environment, Government, Transportation",,"Ethnic communities, LGBTQI communities, Low-income communities, People of color",,"Foundation funding",,,"Foundation funding",,,,"I don’t sell any advertising products.",,"We can drive the news cycle around core quality-of-life issues, like dangerous intersections, air quality, traffic congestion, and so forth, because we are the only ones with the quantifiable data on this.","Crosstown seeks to deliver community-level data and analyses to the people of Los Angeles who want to make their neighborhoods and city safer, healthier and more connected."
CTNewsJunkie.com,,https://ctnewsjunkie.com,"Christine Stuart and Doug Hardy",No,Hartford,CT,"United States",English,,LLC,LLC,2005,2,0-10,0-10,0-10,0-10,"Digital marketing services, Events, Newsletters, Originally-reported articles, Social media-only content, Video",,"Social media, Syndicated feed or content partnerships, Third party content platforms, Website",,State/Province,"Curation and commentary, In-depth feature and explanatory reporting, Investigative news",,"Business, Corruption, Crime & Justice, Education & Schools, Energy, Environment, Government, Health & Medicine, Immigration, Planning & Development, Politics, Race & Ethnicity, Social Justice & Inequality, Transportation",,"Low-income communities, People of color",,"Direct sold advertising, Other forms of corporate sponsorship",,,"Direct sold advertising",,,,"Branded content (e.g. marketing content with editorial review by the advertiser), Display",,"CTNewsJunkie was the first digital-only news organization to arrive at the state Capitol in Hartford. We forced legacy news organizations to start producing news stories at the increased pace of digital to keep up with us, and our reporting has provided people with a window on the inner workings of all three branches of government. Public service journalism has always been our goal, and last year - as measles outbreaks were popping up around the country for the first time in 25 years - we pushed the Connecticut Department of Public Health into releasing school-level vaccination data for the first time by highlighting the law preventing the data's release. The release of the data showed a shocking number of schools below the CDC's recommended immunization rate of 95%, and an increasing trend of parents using a religious exemption to avoid vaccinating their children despite the lack of any underlying health issue preventing them from being vaccinated. The legislature took notice and then took action, and began working toward a number of initiatives to improve vaccination rates. The series of news stories, which won both a LION Publishers award as well as the Public Service Journalism award from the Connecticut Society of Professional Journalists. More importantly, the coverage opened the conversation about personal responsibility within the context of public health and, almost as though it was foreshadowing the COVID-19 pandemic, the coverage positioned us as a go-to source of information for the arrival of a disease far more deadly than measles.","Introducing CTNewsJunkie.com, a Connecticut news site that understands the usual media offerings just aren’t enough. Updated daily, CTNewsJunkie features original reporting on state politics, public policy, the courts, and also a healthy focus on our struggling health care system.
Not mere observation. No half-cocked rants. And no regurgitated drivel already recorded in a million other outlets."
"Delaware Currents",,https://delawarecurrents.org,"Meg McGuire",Yes,"Port Jervis",NY,"United States",English,,"Nonprofit 501c(3) or Canadian nonprofit","Nonprofit 501c(3) or Canadian nonprofit",2015,0,61-70,0-10,0-10,0-10,"Originally-reported articles, Newsletters",,"Website, Social media",,Multi-state/Multi-province,"Single-subject news",,Environment,,"Low-income communities, People of color",,"Small individual gifts, Major individual gifts, Philanthropic funding from major institutions",,,"Philanthropic funding from major institutions",,"I don't have a paywall",,"I don’t sell any advertising products.",,"As people understand the source of their drinking water (the Delaware River) they can begin to take better care of it.","Delaware Currents is a news project dedicated to telling the story of the Delaware River from its headwaters in the Catskill Mountains of New York to the Delaware Bay, where it meets the ocean. Delaware Currents seeks to host an intelligent conversation about the river's future, understanding that there is a natural tug-of-war among its stakeholders and that no one person, organization or business has all the answers."
"Durham Skywriter",,https://durhamskywriter.com,"Patricia A. Murray",Yes,Durham,NC,"United States",English,,"Sole Proprietor/no specific tax status","Sole Proprietor/no specific tax status",2002,1,0-10,0-10,0-10,0-10,"Originally-reported articles, Video, Social media-only content",,"Website, Social media, Third party content platforms",,"City/Town, County/Counties/Regional districts","Curation and commentary, Hyperlocal community comings and goings",,"Education & Schools, Entertainment & Arts, Events in coverage area, Health & Medicine, Social Justice & Inequality",,"Ethnic communities, Immigrant communities, LGBTQI communities, Low-income communities, People of color",,"Direct sold advertising",,,"Direct sold advertising",,,,"I don’t sell any advertising products.",,"Our coverage increases attendance at meetings, workshops, and other community events; increases enrollment of students into specialty schools;  helps people sign up for programs and identify resources.",
"East End Taste Magazine",,https://eastendtastemagazine.com,"Vanessa Gordon",Yes,Hamptons,NY,"United States",English,,LLC,LLC,2014,2,21-30,11-20,31-40,11-20,"Originally-reported articles, Video, Newsletters, Digital marketing services, Events",,"Website, Social media",,"County/Counties/Regional districts","Curation and commentary, Hyperlocal community comings and goings",,"Business, Food, Health & Medicine, Travel",,"Ethnic communities, LGBTQI communities",,"Direct sold advertising, Other forms of corporate sponsorship, Events",,,Events,,"I don't have a paywall",,"Display, Content Sponsorship, Branded content (e.g. marketing content with editorial review by the advertiser), Video",,,"East End Taste Magazine is an elevated online publication covering food trends and events on the East End of Long Island. It also covers destinations around the world with a focus on food & culture with a refined angle."
"El Tímpano","Listening Post Collective",https://eltimpano.org,"Madeleine Bair",Yes,Oakland,CA,"United States",English,,"Under umbrella of a 501c(3)","Under umbrella of a 501c(3)",2018,0,51-60,0-10,11-20,21-30,"Originally-reported articles, Social media-only content",,"Social media, Text",,City/Town,,"Latinx Community","Education & Schools, Health & Medicine, Immigration, Social Justice & Inequality, Transportation",,"Communities with English as a second language, Immigrant communities, Low-income communities",,"Foundation funding",,,"Foundation funding",,"I don't have a paywall",,"I don’t sell any advertising products.",,"Members of El Tímpano's audience have told us that the information we provide is valuable in connecting them to resources, events, and local issues. Through our information needs assessment, we have educated other local organizations and municipal officials on strategies to effectively reach Oakland's Spanish-speaking residents. Our advocacy for Spanish-speaking resources has resulted in changing practices by municipal organizations. Local agencies have a channel they can use to reach the city's Latinx immigrants with important information.","El Tímpano works in collaboration with Oakland residents and community partners to create empowering, two-way channels of information."
"Enlace Latino NC",,https://enlacelatinonc.org,"Paola Jaramillo, Walter Gomez",No,Raleigh,NC,"United States",Spanish,,"Under umbrella of a 501c(3)","Under umbrella of a 501c(3)",2018,2,51-60,0-10,11-20,0-10,"Originally-reported articles, Podcasts, Newsletters",,"Website, Social media",,"County/Counties/Regional districts","Investigative news, Hyperlocal community comings and goings, In-depth feature and explanatory reporting",,"Government, Immigration, Politics, Race & Ethnicity, Social Justice & Inequality",,"Communities with English as a second language, Immigrant communities, LGBTQI communities, Low-income communities, People of color",,"Foundation funding",,,"Foundation funding",,"I don't have a paywall",,"I don’t sell any advertising products.",,,"We are dedicated to produce journalism of public service, in Spanish, independent, truthful and non-partisan, on immigration issues, state policy, government and community, and state affairs of North Carolina.
Furthermore, to divulge information that empowers and encourages the diverse community of Latino / Hispanic immigrants in the state to generate movements, so that they can be more involved in social, political and economic changes that benefit them."
"Flint Beat","Brown Impact Media Group",https://Flintbeat.com,"Jiquanda Johnson",No,Flint,MI,"United States",English,,"Sole Proprietor/no specific tax status",LLC,2017,3-5,61-70,41-50,0-10,0-10,"Originally-reported articles, Video, Newsletters, Printed media",,"Website, Social media, Third party content platforms, Syndicated feed or content partnerships",,"Neighborhood(s), City/Town, County/Counties/Regional districts","Hyperlocal community comings and goings",,"Government, Health & Medicine, Politics, Social Justice & Inequality",,"Communities with English as a second language, Low-income communities, People of color",,"Foundation funding",,,"Foundation funding",,"I don't have a paywall",,"Display, Content Sponsorship, Video",,,"Flint Beat covers everything Flint including local news, politics, education and community leaders."
