"Publication Name","Parent Publication",URL,Owner,"Is Owner Founder",City,State,Country,"Primary Language","Primary Language Other","Tax Status (founded)","Tax Status (current)","Year Founded","Total Employees","Budget % - Editorial","Budget % - Revenue Generation","Budget % - Product/Technology","Budget % - Administration",Products,"Products Other",Distribution,"Distribution Method Other","Geographic Area","Core Editorial Strategy Characteristics","Core Editorial Strategy Characteristics Other","Coverage Topics","Coverage Topics Other","Underrepresented Communities","Underrepresented Communities not listed","Revenue Streams","Revenue Stream Other","Revenue Stream - Additional Info","Revenue Stream - Largest","Revenue Streams Largest Other","Paywall or Gateway","Paywall or Gateway Other","Advertising Products","Advertising Product Other","Real-World Impacts",Summary
"ecoRI News",,https://ecoRI.org,"Jooanna Detz, Frank Carini",Yes,Providence,RI,"United States",English,,"Nonprofit 501c(3) or Canadian nonprofit","Nonprofit 501c(3) or Canadian nonprofit",2009,3-5,61-70,21-30,0-10,0-10,"Newsletters, Originally-reported articles, Social media-only content, Video",,"Social media, Third party content platforms, Website",,State/Province,"Single-subject news",,"Energy, Environment, Food, Government",,,,"Foundation funding, Major individual gifts, Small individual gifts",,,"Foundation funding",,"I don't have a paywall",,"Content Sponsorship, Display",,"We bring public attention to environmental legislation and issues.","ecoRI News is dedicated to reporting on environmental and social justice issues in southern New England. Through our reporting, we create a more informed public and provide individuals with the information they need to be better stewards of their environment."
"El Tímpano","Listening Post Collective",https://eltimpano.org,"Madeleine Bair",Yes,Oakland,CA,"United States",English,,"Under umbrella of a 501c(3)","Under umbrella of a 501c(3)",2018,0,51-60,0-10,11-20,21-30,"Originally-reported articles, Social media-only content",,"Social media, Text",,City/Town,,"Latinx Community","Education & Schools, Health & Medicine, Immigration, Social Justice & Inequality, Transportation",,"Communities with English as a second language, Immigrant communities, Low-income communities",,"Foundation funding",,,"Foundation funding",,"I don't have a paywall",,"I don’t sell any advertising products.",,"Members of El Tímpano's audience have told us that the information we provide is valuable in connecting them to resources, events, and local issues. Through our information needs assessment, we have educated other local organizations and municipal officials on strategies to effectively reach Oakland's Spanish-speaking residents. Our advocacy for Spanish-speaking resources has resulted in changing practices by municipal organizations. Local agencies have a channel they can use to reach the city's Latinx immigrants with important information.","El Tímpano works in collaboration with Oakland residents and community partners to create empowering, two-way channels of information."
"Eye On Annapolis",,https://www.eyeonannapolis.net,,Yes,Annapolis,MD,"United States",English,,"For Profit","For Profit",,1,21-30,21-30,21-30,31-40,"Digital marketing services, News aggregation, Newsletters, Originally-reported articles, Podcasts, Social media-only content",,"Aggregation, Email, Podcast, Social media, Website",,"County/Counties/Regional districts","Breaking News, Curation and commentary, Hyperlocal community comings and goings",,"Breaking News, Business, Events in coverage area, Local News, Local Profiles",,,,"Direct sold advertising",,,"Direct sold advertising",,"I don't have a paywall",,"Branded content (e.g. marketing content with editorial review by the advertiser), Event sponsorship, Content Sponsorship, Display, Email, Podcast Sponsorship, Social Media",,"We have become a go-to source for many in the community that are embracing technology and not willing to wait for a printed option for their news. We have successfully established our social media presence as a news source and refer socially back to our main website. We have a high conversion rate, decent PPV rate, and a low bounce rate on the website due to the lack of a paywall. Revenue comes from a combination of direct sold advertisements (average tenure of client 6 years) and social engagement that as proven valueable to clients. We are also out in community with sponsorships.
 ","Eye On Annapolis is a purely online digital news and events website focused on Anne Arundel County, MD with occasional reach into other areas of Maryland. Based in Annapolis and established in 2009, Eye On Annapolis has one of the largest social media reaches in the region with more than 130,000 followers on Facebook (All Annapolis) and 50,000 on Twitter (@eyeonannapolis). Additionally, The Eye On Annapolis Daily News Brief is a daily (M-F) podcast that launched in September 2017 and has grown to add periodic bonus podcasts and a weekly Local Business Spotlight Podcast.
 "
"Forward Lookout",,https://forwardlookout.com,"Brenda Konkel",Yes,Madison,WI,"United States",English,,LLC,"Sole Proprietor/no specific tax status",2004,0,0-10,0-10,41-50,31-40,"News aggregation, Newsletters, Originally-reported articles, Podcasts, Social media-only content, Video",,"Radio, Social media, Website",,"City/Town, County/Counties/Regional districts","Curation and commentary, Hyperlocal community comings and goings, In-depth feature and explanatory reporting, Investigative news",,"Education & Schools, Government, Housing, Politics, Social Justice & Inequality",,"Low-income communities",,"Direct sold advertising",,,"Direct sold advertising",,,,"I don’t sell any advertising products.",,"People know what is going on in local government and can weigh in, lobby, attend meetings and other things because of the info Forward Lookout provides.","A Dane County news and opinion website."
GoLocalProv.com,GoLocal24,https://GoLocalProv.com,"Josh Fenton",No,Providence,RI,"United States",English,,LLC,LLC,2010,6-10,51-60,11-20,11-20,11-20,"Digital marketing services, Events, Newsletters, Originally-reported articles, Social media-only content, Video",,"Social media, Third party content platforms, Website",,"State/Province, Multi-state/Multi-province","Curation and commentary, Hyperlocal community comings and goings, In-depth feature and explanatory reporting, Investigative news, Single-subject news",,"Business, Corruption, Health & Medicine, Politics, Sports & Recreation",,,,"Direct sold advertising",,,"Other forms of corporate sponsorship",,"I don't have a paywall",,"Branded content (e.g. marketing content with editorial review by the advertiser), Content Sponsorship, Display, Video",,"We a the primary news source in Rhode Island We are the 3rd or 4th largest website by traffic in the state","GoLocal24 is the leading local digital news and information model - now with platforms in two New England cities."
"GOOD Morning Wilton",,https://goodmorningwilton.com,"Heather Borden Herve",No,Wilton,CT,"United States",English,,"Sole Proprietor/no specific tax status",LLC,2013,1,51-60,0-10,11-20,0-10,"Newsletters, Originally-reported articles, Social media-only content, Video",,"Social media, Third party content platforms, Website",,City/Town,"Hyperlocal community comings and goings, In-depth feature and explanatory reporting, Single-subject news",,"Business, Education & Schools, Events in coverage area, Government, Planning & Development",,,,"Direct sold advertising, Reader membership",,,"Direct sold advertising",,"I don't have a paywall",,"Content Sponsorship, Display, Video",,"My community has told me how much they have come to depend on our daily news website-we've been able to shine a light on non-profits in need of funding, inspiring immediate donations to pour in; we've been able to increase voter turnout; In this current global pandemic, we've been a lifeline to many with critical information and directly impacted the speed with which the community adopted social distancing-as credited by town leadership. GOOD Morning Wilton has helped new businesses establish a customer base. And we've helped reinforce a community ethic based on GOOD news.","When Wilton wants info, access and the resources to find out what’s happening and who makes it happen in town, people turn to GOOD Morning Wilton. We’re Wilton’s fastest growing, most trusted source of local news and info. GMW is the news readers want, when and where they want it-daily and online."
"Grand Rapids Kids",,https://grkids.com/,,No,"Grand Rapids",MI,"United States",English,,"Sole Proprietor/no specific tax status",LLC,2016,1,21-30,21-30,0-10,21-30,"Digital marketing services, Events, Newsletters, Originally-reported articles, Printed media, Social media-only content",,"Email, Print, Social media, Website",,"County/Counties/Regional districts","Hyperlocal community comings and goings",,"Events in coverage area, Food, Travel",,,,"Direct sold advertising, Programmatic advertising",,,"Direct sold advertising",,,,"Branded content (e.g. marketing content with editorial review by the advertiser), Event sponsorship, Content Sponsorship, Display, Email, Print ads, Social Media",,"We provide information that leads families to make decisions on how they spend their time and their money in West Michigan. This includes choosing health care providers, deciding what school to attend, and vacation and recreational choices.","We are a digital-first publication focusing on families in West Michigan. Information relevant to families living and playing in Greater Grand Rapids is our focus. We maintain a calendar of events, publish a newsletter, and cover local and statewide happenings. Our print magazine is published two times per year."
"Grice Connect",,https://griceconnect.com/,"Grice Connect, LLC",Yes,STATESBORO,GA,"United States",English,,LLC,LLC,2018,3-5,31-40,11-20,21-30,0-10,"Events, Newsletters, Originally-reported articles, Social media-only content, Video",,"Email, Social media, Website",,"Neighborhood(s), City/Town, County/Counties/Regional districts","Breaking News, Hyperlocal community comings and goings",,"Breaking News, Events in coverage area, Local News, Local Profiles",,,,"Direct sold advertising, Reader membership, Small individual gifts",,,"Direct sold advertising",,"I don't have a paywall",,"Content Sponsorship, Display, Email, Social Media, Video",,"Grice Connect was developed to ""connect"" our community in times of crisis or disaster. It was developed after Hurricane Matthew impacted our community, putting us on our back for a week. The leadership of our community came together to identify issues that must be addressed in future crisis to manage the humanitarian side of the disaster. With no digital or electronic media in our community, leaving us only print - we needed a responsive, media that can communicate needs and connect people to opportunities, especially during a crisis.","A hyper-local news site covering Statesboro, Bulloch County, Georgia, Georgia Southern University, East Georgia State College, Ogeechee Technical College along with the cities of Portal and Brooklet, Georgia."
"High Ground News","Issue Media Group",https://highgroundnews.com,"Paul Schutt, Brian Boyle",Yes,Memphis,TN,"United States",English,,LLC,LLC,2014,2,31-40,11-20,11-20,21-30,"Events, Newsletters, Originally-reported articles, Podcasts, Social media-only content, Video",,"Email, Social media, Syndicated feed or content partnerships, Website",,"Neighborhood(s), City/Town","Hyperlocal community comings and goings, In-depth feature and explanatory reporting",,"Business, Education & Schools, Local News, Planning & Development, Social Justice & Inequality",,"Low-income communities, People of color",,"Foundation funding, Philanthropic funding from major institutions",,,"Foundation funding",,"I don't have a paywall",,"I don’t sell any advertising products.",,"This is a core tenant of our coverage--to help underserved, ""news desert"" communities create a robust and nuanced narrative that didn't exist before and to help shine a light on people and orgs who are moving our city forward in the hopes they'll make connections to the resources they need to grow. There have been many real-world impacts. As a direct result of our coverage, groups and individuals have gotten new grants, donors, partners/clients, national coverage, and awards.","We cover Memphis neighborhoods with nuance and center the experience of residents. We expose Memphians to stories of their neighbors across the city. We seek to rebalance the news by exploring challenges while focusing on the people and solutions moving Memphis forward."
"Homewood-Flossmoor Chronicle",,https://hfchronicle.com,"Eric Crump, Marilyn Thomas, Tom Houlihan",Yes,Flossmoor,IL,"United States",English,,LLC,LLC,2014,0,0-10,21-30,31-40,21-30,"Originally-reported articles, Video, Printed media, Social media-only content, Digital marketing services",,"Website, Social media, Third party content platforms",,City/Town,"Hyperlocal community comings and goings, In-depth feature and explanatory reporting",,"Business, Education & Schools, Entertainment & Arts, Events in coverage area, Government",,"People of color",,"Direct sold advertising",,,"Direct sold advertising",,,,"Display, Branded content (e.g. marketing content with editorial review by the advertiser), Video",,"Our community was long served by legacy media organizations that abandoned it as the industry contracted. We fill the gap they left, and our readers say they appreciate the information and social cohesion we provide. Our coverage focuses on schools, local government, business and community events because those are the features of our community that readers value most.","The H-F Chronicle is the only newspaper dedicated to covering the Homewood-Flossmoor community. With new stories published daily online at HFChronicle.com, the print edition comes out monthly, reaching more than 12,000 readers."
"Honolulu Civil Beat",,https://civilbeat.org,"Honolulu Civil Beat Inc",No,Honolulu,HI,"United States",English,,"S Corp","Nonprofit 501c(3) or Canadian nonprofit",2010,"21 or more",71-80,11-20,0-10,0-10,"Events, Newsletters, Originally-reported articles, Podcasts, Social media-only content",,"Social media, Third party content platforms, Website",,State/Province,"In-depth feature and explanatory reporting, Investigative news",,"Business, Environment, Government, Politics, Social Justice & Inequality",,,,"Foundation funding, Major individual gifts, Reader membership, Small individual gifts",,,"Foundation funding",,,,,,"There has been significant legislative and citizen action and public policy decision making based on our work","Honolulu Civil Beat is a 501(c)3 tax-exempt news organization dedicated to cultivating an informed body of citizens, all striving to make Hawaii a better place to live. We achieve this through investigative and watchdog journalism, in-depth enterprise reporting, analysis and commentary that gives readers a broad view on issues of importance to our community."
"Investigative Post",,https://investigativepost.org,"Jim Heaney",Yes,Buffalo,NY,"United States",English,,"Nonprofit 501c(3) or Canadian nonprofit","Nonprofit 501c(3) or Canadian nonprofit",2012,3-5,71-80,0-10,11-20,0-10,"Events, Originally-reported articles, Social media-only content, Video",,"Social media, Syndicated feed or content partnerships, Website",,"Neighborhood(s), City/Town, County/Counties/Regional districts","In-depth feature and explanatory reporting, Investigative news",,"Corruption, Crime & Justice, Environment, Politics, Social Justice & Inequality",,"Immigrant communities, Low-income communities",,"Major individual gifts, Philanthropic funding from major institutions, Small individual gifts",,,"Philanthropic funding from major institutions",,"I don't have a paywall",,"I don’t sell any advertising products.",,"Our goal is to spotlight corruption nad wrong doing by those in power.","Investigative Post is one of about 250 nonprofit news organizations that have launched over the past decade across the nation in the face of the decline of local news outlets.
We’re unique in a couple of ways. For starters, Investigative Post is the only news organization in WNY dedicated exclusively to watchdog journalism. We produce fact-based, nonpartisan investigative stories and analyses on issues that matter to the citizens and taxpayers of Buffalo and WNY."
KelownaNow,www.nowmediagroup.ca,https://kelownanow.com,Csek,No,Kelowna,BC,Canada,English,,"For Profit","For Profit",2014,16-20,91-100,71-80,31-40,31-40,"Digital marketing services, Events, Newsletters, Originally-reported articles, Podcasts, Social media-only content, Video",,"Owned and operated mobile app(s), Social media, Third party content platforms, Website",,City/Town,"Hyperlocal community comings and goings, Single-subject news",,"Business, Entertainment & Arts, Events in coverage area, Food, Planning & Development",,"LGBTQI communities",,"Direct sold advertising, Programmatic advertising",,,"Direct sold advertising",,"I don't have a paywall",,"Branded content (e.g. marketing content with editorial review by the advertiser), Content Sponsorship, Display, Video",,"We are the only locally owned and operated media platform in our city, and we are committed to providing the stuff that matters to our community through a positive voice. This makes us stand out in our community, and we are looked to, to provide factual, up-to-date information for our readers.","Our mission is to keep citizens and visitors to Kelowna informed while promoting our local community and the people and businesses that make our city great."
"Kings County Politics","Never Sink Media",https://KingsCountyPolitics.com,"Stephen Witt",Yes,"New York",NY,"United States",English,,LLC,LLC,2015,3-5,41-50,11-20,21-30,21-30,"Newsletters, Originally-reported articles, Podcasts, Social media-only content, Video",,"Social media, Third party content platforms, Website",,"Neighborhood(s), City/Town, County/Counties/Regional districts, State/Province, Multi-state/Multi-province","Curation and commentary, Hyperlocal community comings and goings, In-depth feature and explanatory reporting, Investigative news, Single-subject news",,"Business, Government, Health & Medicine, Immigration, Politics",,"Ethnic communities, Immigrant communities, LGBTQI communities, Low-income communities, People of color",,"Direct sold advertising",,,"Direct sold advertising",,"I don't have a paywall",,"Content Sponsorship, Display",,"Several of our stories affect change in the local community.",
"L.A. TACO",,https://lataco.com,"Alex Bloomingdale, Daniel Hernandez",No,"Los Angeles",CA,"United States",English,,"Sole Proprietor/no specific tax status",LLC,2005,3-5,71-80,0-10,0-10,0-10,"Digital marketing services, Newsletters, Originally-reported articles, Social media-only content, Video",,Website,,City/Town,"Hyperlocal community comings and goings, In-depth feature and explanatory reporting, Single-subject news",,"Crime & Justice, Entertainment & Arts, Food, Transportation",,"Ethnic communities, Immigrant communities",,"Direct sold advertising, Events, Reader subscriptions",,,"Reader membership",,,,"Branded content (e.g. marketing content with editorial review by the advertiser), Content Sponsorship, Display",,,"L.A. TACO is a platform for the city of Los Angeles. We are a source of news and information related to food, culture, and community for the metropolitan area. We are independently owned and operated, by L.A. and for L.A.  We aim to bring raw, street-level journalism to our loyal readers, supporters, and members partners who share our passion for Los Angeles."
"La Esquina",,http://laesquina.live,"de León",No,Louisville,KY,"United States",Spanish,,"Sole Proprietor/no specific tax status","Sole Proprietor/no specific tax status",2012,1,91-100,31-40,51-60,51-60,"Digital marketing services, Originally-reported articles, Podcasts, Social media-only content, Video",,"Owned and operated mobile app(s), Social media, Website",,"City/Town, County/Counties/Regional districts, State/Province, Multi-state/Multi-province","Single-subject news",,"Business, Crime & Justice, Culture, Education & Schools, Entertainment & Arts, Events in coverage area, Food, Government, Health & Medicine, Immigration, National Security, Politics, Race & Ethnicity, Religion, Social Justice & Inequality",,"Immigrant communities",,,,,,,,,"I don’t sell any advertising products.",,,"La Esquina es una revista online que informa de los acontecimientos que ocurren en el Condado de Jefferson en Kentucky. Buscamos historias humanas que contribuyen al desarrollo en todos los sentidos de la comunidad. Damos voz a nuestra comunidad en tiempo real."
"Long Beach Post",,https://Lbpost.com,"Pacific Community Media",No,"Long Beach",CA,"United States",English,,LLC,LLC,2007,16-20,41-50,21-30,21-30,0-10,"Originally-reported articles, Video, Podcasts, Newsletters, Printed media, Social media-only content, Digital marketing services, Events",,"Website, Social media, Third party content platforms",,"Neighborhood(s), City/Town","Single-subject news, Investigative news, Curation and commentary, In-depth feature and explanatory reporting",,"Business, Crime & Justice, Food, Government, Planning & Development",,"Ethnic communities, Immigrant communities, LGBTQI communities, Low-income communities, People of color",,"Direct sold advertising, Programmatic advertising, Reader membership, Other forms of corporate sponsorship",,,"Direct sold advertising",,"I don't have a paywall",,"Display, Content Sponsorship, Branded content (e.g. marketing content with editorial review by the advertiser)",,,"The Long Beach Post is a daily, digital publication covering news, life, business, placemaking, food, sports, LGBT issues and more in the city of Long Beach, California. The Post continues to invest in expanded coverage of our city and its people, create new technologies to increase our readership, and remain nimble so changing reader demands are opportunities, not threats."
"Luther Register News",,https://lutherregister.news,"Dawn Shelton",Yes,Luther,OK,"United States",English,,LLC,LLC,2015,1,61-70,11-20,11-20,11-20,"Originally-reported articles, Podcasts, Newsletters, Social media-only content, Digital marketing services, Events",,"Website, Social media, Third party content platforms",,City/Town,"Hyperlocal community comings and goings",,"Business, Corruption, Crime & Justice, Education & Schools, Entertainment & Arts",,"Low-income communities",,"Direct sold advertising, Reader membership, Small individual gifts, Events",,,Events,,"I don't have a paywall",,"Display, Content Sponsorship",,"Readers of the Luther Register benefit from news and information about their community to engage and become involved.","It's news for our town, Luther, OK. Published by Dawn Shelton."
Madison365,"365 Media",https://Madison365.org,"Henry Sanders, Robert Chappell, Henry Sanders, Robert Chappell, David Dahmer",Yes,Madison,WI,"United States",English,,"Nonprofit 501c(3) or Canadian nonprofit","Nonprofit 501c(3) or Canadian nonprofit",2015,3-5,61-70,31-40,0-10,0-10,"Digital marketing services, Events, Originally-reported articles, Social media-only content, Video",,"Social media, Website",,"City/Town, County/Counties/Regional districts, State/Province","Hyperlocal community comings and goings, In-depth feature and explanatory reporting, Single-subject news","Communities of Color","Education & Schools, Events in coverage area, Politics, Race & Ethnicity, Social Justice & Inequality",,"Communities with English as a second language, Ethnic communities, Immigrant communities, People of color",,"Direct sold advertising, Events, Foundation funding, Philanthropic funding from major institutions",,,"Foundation funding",,"I don't have a paywall",,"Branded content (e.g. marketing content with editorial review by the advertiser), Event sponsorship, Content Sponsorship, Display",,"We cover many stories that wouldn't have been told. We have developed trust in communities of color such that people bring their stories to us when in the past, they would not have trusted any members of the press; as a result, stories of racism and disparities that would have gone unnoticed are now told and are then spread into the mainstream media. Since our launch other local media outlets have been more intentional about covering communities of color. Our newsroom doubles the number of journalists of color working in Madison.","Madison365 uses excellent journalism to start conversations, find real and lasting solutions, build community, invite action and encourage emerging leaders in Greater Madison’s communities of color, and to foster dialog between members of diverse communities."
magnoliareporter.com,,https://magnoliareporter.com,"Mike McNeill",No,Magnolia,AR,"United States",English,,LLC,LLC,2010,1,61-70,0-10,0-10,11-20,"Originally-reported articles, Video, Social media-only content",,"Website, Social media",,"County/Counties/Regional districts","Single-subject news, Hyperlocal community comings and goings",,"Business, Crime & Justice, Education & Schools, Entertainment & Arts, Government",,,,"Direct sold advertising",,,"Direct sold advertising",,,,"Display, Branded content (e.g. marketing content with editorial review by the advertiser)",,"We are the local go-to source for information pertaining to our core city and county.","magnoliareporter.com strives to provide a news, information and advertising platform that can be updated around the clock with news articles, photographs and videos, and other material of interest to residents of the region."
MIWISCONSIN,,http://www.miwisconsin.com,,No,Madison,WI,"United States",Spanish,,"Under umbrella of a 501c(3)","Under umbrella of a 501c(3)",2020,1,,,,,"Newsletters, Podcasts, Social media-only content",,"Email, Podcast, Social media, Text, Website",,"City/Town, County/Counties/Regional districts, State/Province","Breaking News, Hyperlocal community comings and goings, Investigative news, Single-subject news",,"Education & Schools, Government, Health & Medicine, Immigration, Local News",,"Communities with English as a second language, People of color, Immigrant communities, LGBTQI communities, Low-income communities",,"Classifieds, Direct sold advertising, Events, Foundation funding, Grants",,,"Foundation funding",,"I don't have a paywall",,Display,,,"We are a new Spanish language digital media company that covers the Latino community in Wisconsin."
"MLK50: Justice Through Journalism",,https://mlk50.com,"Founder of Non Profit -Wendi C. Thomas",No,Memphis,TN,"United States",English,,"Under umbrella of a 501c(3)","Under umbrella of a 501c(3)",2017,2,81-90,0-10,0-10,0-10,"Events, Newsletters, Originally-reported articles, Social media-only content",,"Social media, Website",,City/Town,"In-depth feature and explanatory reporting, Investigative news, Single-subject news",,"Corruption, Crime & Justice, Environment, Events in coverage area, Government, Planning & Development, Politics, Race & Ethnicity, Social Justice & Inequality, Transportation",,"Ethnic communities, Immigrant communities, Low-income communities, People of color",,"Foundation funding, Major individual gifts, Philanthropic funding from major institutions, Small individual gifts",,,"Foundation funding",,"I don't have a paywall",,"I don’t sell any advertising products.",,"Our reporting led the city's largest nonprofit hospital system, which sued more than 8,300 people over a five-year period for unpaid hospital bills, to overhaul its financial aid policies and erase nearly $12 million in debt for more than 5,300 defendants. https://mlk50.com/mlk50-com-profit/home","A nonprofit reporting project on economic justice. In partnership with the National Civil Rights Museum’s MLK50 commemoration."
"Murfreesboro Post","Main Street Media of Tennessee",https://www.murfreesboropost.com/,,Yes,Murfreesboro,TN,"United States",English,,"For Profit","For Profit",2005,3-5,51-60,21-30,0-10,0-10,"News aggregation, Newsletters, Originally-reported articles, Podcasts, Printed media, Social media-only content, Video",,"Email, Podcast, Print, Social media, Website",,"Neighborhood(s), City/Town, County/Counties/Regional districts","Breaking News, Hyperlocal community comings and goings, In-depth feature and explanatory reporting, Investigative news",,"Breaking News, Education & Schools, Government, Local News, Sports & Recreation",,,,"Direct sold advertising",,,"Direct sold advertising",,"I don't have a paywall",,"Classifieds, Display, Podcast Sponsorship, Print ads",,"As the local paper, we provide our readers with unique coverage of several topics including some government coverage, events and local sports. We are a watchdog and also recognize achievers and people having an impact in the area.","The local weekly news paper of Rutherford County, TN.
 "
"New Bern Now",,https://newbernnow.com,"Wendy Card",No,"New Bern",NC,"United States",English,,LLC,LLC,2009,1,0-10,0-10,91-100,0-10,"Originally-reported articles, Video, Podcasts, Printed media, Social media-only content, Events",,"Website, Social media, Third party content platforms, Syndicated feed or content partnerships, Podcast, Print, Radio",,"Neighborhood(s), City/Town, County/Counties/Regional districts, State/Province","Single-subject news, Investigative news, Curation and commentary, Hyperlocal community comings and goings, In-depth feature and explanatory reporting",,"Business, Education & Schools, Government, Health & Medicine, Sports & Recreation",,,,"Direct sold advertising",,,"Direct sold advertising",,"I don't have a paywall",,"Display, Podcast Sponsorship",,"We connect people with our community by highlighting locals, non-profits, businesses, and places in the greater New Bern, NC area and surrounding towns by providing news and information. Our goal is to educate, enrich, entertain, and/or enlighten our audience.","Connecting you with the great Community of New Bern, NC! We're a news and information website, magazine, and podcast/radio show."
"New York County Politics","Never Sink Media",https://www.newyorkcountypolitics.com,"Stephen Witt",Yes,"New York",NY,"United States",English,,LLC,LLC,2019,3-5,41-50,11-20,21-30,21-30,"Newsletters, Originally-reported articles, Podcasts, Social media-only content, Video",,"Social media, Third party content platforms, Website",,"Neighborhood(s), City/Town, County/Counties/Regional districts, State/Province, Multi-state/Multi-province","Curation and commentary, Hyperlocal community comings and goings, In-depth feature and explanatory reporting, Investigative news, Single-subject news",,"Business, Government, Health & Medicine, Immigration, Politics",,"Ethnic communities, Immigrant communities, LGBTQI communities, Low-income communities, People of color",,"Direct sold advertising",,,"Direct sold advertising",,"I don't have a paywall",,"Content Sponsorship, Display",,,
"New York Focus",,https://www.nysfocus.com/,,Yes,"New York",NY,"United States",English,,"Under umbrella of a 501c(3)","Under umbrella of a 501c(3)",2020,2,71-80,0-10,0-10,0-10,"Newsletters, Originally-reported articles, Social media-only content, Video",,"Email, Social media, Syndicated feed or content partnerships, Third party content platforms, Website",,"City/Town, State/Province","In-depth feature and explanatory reporting, Investigative news",,"Corruption, Crime & Justice, Environment, Housing, Politics",,"Low-income communities",,"Foundation funding, Grants",,,Grants,,"I don't have a paywall",,"I don’t sell any advertising products.",,"Our investigation of the trials faced by New Yorkers released from jail without ID was discussed in a City Council hearing, prompting legislators to examine the possibility of issuing ID upon jail discharge.
Our reporting on the burning of toxic waste steps away from a public housing complex pressured the governor to sign into law an incineration ban that had teetered on the edge of veto.
 ","Launched in October 2020, New York Focus aims to help make state politics more democratic by publishing adversarial, in-depth reporting that cuts through the noise to explain how the Empire State really works. Our areas of coverage include housing and homelessness, energy and climate, criminal justice and health, tax and budget, and the administration of Governor Andrew Cuomo. We routinely co-published stories with publications including Gotham Gazette, City & State, The City, and Jacobin."
"No Bull",,,,No,,,"United States",English,,,,,0,,,,,"News aggregation, Newsletters, Originally-reported articles, Social media-only content, Video",,"Email, Social media, Third party content platforms, Website",,City/Town,"Curation and commentary, In-depth feature and explanatory reporting, Investigative news",,"Culture, Economics, Housing, Local News, Local Profiles",,"Communities with English as a second language, Ethnic communities, People of color, Immigrant communities, LGBTQI communities, Low-income communities",,,,,,,,,,,,
"North Penn Now",,http://northpennnow.com,,Yes,Lansdale,PA,"United States",English,,LLC,LLC,,1,,,,,"Digital marketing services, Events, News aggregation, Originally-reported articles, Social media-only content, Video",,"Events, Social media, Website",,"Neighborhood(s), City/Town","Breaking News, Hyperlocal community comings and goings, In-depth feature and explanatory reporting, Investigative news",,"Breaking News, Business, Crime & Justice, Education & Schools, Events in coverage area",,,,"Direct sold advertising, Programmatic advertising, Small individual gifts",,,"Direct sold advertising",,"I don't have a paywall",,"Branded content (e.g. marketing content with editorial review by the advertiser), Event sponsorship, Classifieds, Content Sponsorship, Display, Social Media",,"Our coverage area used to be served by a Pulitzer-winning newspaper and the local Patch site, which had a full-time editor and staff. Now, the editor at Patch is covering 10-15 sites, meaning there are no longer boots on the ground and all coverage is regional. Likewise, our friends at The Reporter are down to a two-person staff due to ownership cutbacks, and despite their efforts, their market share has evaporated.
We have filled the void for the area, and experienced rapid early growth which both confirmed our market assessment as well as our confidence in the coverage that we provide.","North Penn Now is a veteran owned, digital news service covering the North Penn region of southeastern Pennsylvania, as well as the seven municipalities that comprise North Penn School District. We offer 5 to 7 hyperlocal articles per day, along with regional and state coverage from our affiliates."
NowKalamazoo,,http://www.nowkalamazoo.com,"Zoo City Enterprises Inc.",Yes,Kalamazoo,MI,"United States",English,,"For Profit","Under umbrella of a 501c(3)",2019,,81-90,0-10,,0-10,"News aggregation, Newsletters, Originally-reported articles, Printed media, Social media-only content",,"Email, Print, Social media, Website",,"County/Counties/Regional districts","Curation and commentary, Hyperlocal community comings and goings, In-depth feature and explanatory reporting, Single-subject news",,"Corruption, Economics, Health & Medicine, Public Policy, Social Justice & Inequality",,,,"Major individual gifts",,,"Major individual gifts",,,,Display,,,"NowKalamazoo — an independent, family-owned, local news start-up — publishes high quality coverage of issues vital to the health of the Kalamazoo County community. Our journalism seeks to explain and emphasize stories that get to the heart of our community, identifying both problems that we face and potential solutions. NowKalamazoo’s current coverage is focused on the concurrent threats to our community: the covid-19 pandemic; injustice, racism in particular; and mis-/dis-information."
"Owen Sound Hub",,https://owensoundhub.org,"Anne Finlay-Stewart",No,"Owen Sound",ON,Canada,English,,Partnership,"Sole Proprietor/no specific tax status",2013,0,0-10,0-10,0-10,81-90,"Originally-reported articles, Video, Newsletters, Social media-only content",,"Website, Social media, Third party content platforms",,"City/Town, County/Counties/Regional districts","Investigative news, Curation and commentary, Hyperlocal community comings and goings",,"Education & Schools, Environment, Events in coverage area, Government, Politics",,,,"Direct sold advertising",,,"Direct sold advertising",,"I don't have a paywall",,Display,,"People have been mobilized to participate more directly in local government decisions, and we have given a platform to local residents on issues such as climate change, Indigenous issues, gender-based violence, etc. We offer a space for direct verbatim platforms of both candidates and citizens' groups","Locally owned. Locally written. Locally read."
"Public News Service",,https://publicnewsservice.org,"Lark Corbeil",Yes,Boulder,CO,"United States",English,,"S Corp","S Corp",1996,16-20,41-50,11-20,0-10,21-30,"Originally-reported articles, Podcasts, Printed media, Social media-only content",,"Social media, Third party content platforms, Website",,"State/Province, Multi-state/Multi-province","Investigative news, Single-subject news",,"Education & Schools, Environment, Health & Medicine, Immigration, Social Justice & Inequality",,"Low-income communities",,"Foundation funding, Reader membership",,,"Foundation funding",,"I don't have a paywall",,"I don’t sell any advertising products.",,"Public News Service keeps people informed about local public interest issues not covered by the broader media, and gives a voice to people in marginalized communities., Public News Service reports on local stories of public interest in the areas we cover, and distributes into local media. We raise awareness about complex issues and keep people in these communities informed.",
